COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Roy Williams,8.2,1,5.6,6,44,34,10,0.773,12,11,8,6,4,3,2,8,95.50%,53.80%
Tom Izzo,8,2,9.2,2,45,31,14,0.689,14,12,9,5,4,1,0,4,86.00%,34.00%
John Calipari,7.8,3,10.5,1,51,39,12,0.765,13,12,10,8,5,3,1,8,98.90%,74.80%
Brad Stevens,6.5,4,7.5,3,17,12,5,0.706,5,4,2,2,2,2,0,0,25.50%,3.70%
Dana Altman,5.8,5,6.3,5,22,15,7,0.682,7,7,5,2,1,0,0,1,42.60%,8.20%
Jim Boeheim,5.6,6,4.7,8,31,21,10,0.677,10,9,7,3,2,0,0,2,69.80%,20.80%
John Beilein,5.5,7,6.5,4,28,19,9,0.679,9,7,5,3,2,2,0,2,65.90%,21.50%
Jay Wright,4.8,8,4,14,40,29,11,0.725,13,11,6,4,4,2,2,7,92.90%,55.10%
Eric Musselman,4.6,9,3.6,17,16,10,6,0.625,6,4,4,2,0,0,0,0,15.80%,1.80%
Kevin Ollie,4.4,10,5.5,7,8,7,1,0.875,2,2,1,1,1,1,1,0,15.00%,2.90%
Bill Self,4.2,11,-1.8,286,53,40,13,0.755,15,15,9,7,4,3,2,12,98.80%,73.20%
Porter Moser,4.1,12,4.6,10,8,6,2,0.75,2,2,2,1,1,0,0,0,8.30%,1.10%
Frank Martin,4,13,4.3,11,15,10,5,0.667,5,5,2,2,1,0,0,1,32.40%,6.70%
Hubert Davis,3.8,14,4.3,11,6,5,1,0.833,1,1,1,1,1,1,0,0,6.40%,0.80%
Jim Larranaga,3.7,15,3,20,20,12,8,0.6,8,5,4,2,1,0,0,1,31.80%,5.10%
Chris Beard,3.4,16,4.7,8,16,11,5,0.688,5,5,2,2,1,1,0,0,44.30%,13.50%
Dusty May,3.3,17,3.4,18,5,4,1,0.8,1,1,1,1,1,0,0,0,3.10%,0.40%
Billy Donovan,3.2,18,4,14,18,13,5,0.722,5,4,4,4,1,0,0,2,68.60%,27.10%
Jim Calhoun,3.2,18,2.7,23,13,10,3,0.769,4,2,2,2,2,1,1,1,44.80%,14.40%
Mark Few,3.1,20,3.8,16,47,32,15,0.681,15,14,9,5,2,2,0,6,97.20%,68.20%
Shaheen Holloway,2.8,21,2.9,21,4,3,1,0.75,1,1,1,1,0,0,0,0,0.10%,0.00%
Rick Pitino,2.6,22,4.1,13,32,22,10,0.688,11,7,6,5,2,1,1,3,89.50%,48.50%
Mike Krzyzewski,2.4,23,0.1,90,44,33,11,0.75,13,11,9,6,3,2,2,11,97.20%,61.10%
Sean Miller,2.2,24,2,26,30,20,10,0.667,10,8,8,4,0,0,0,3,80.60%,32.40%
Bo Ryan,2.1,25,3.2,19,25,17,8,0.68,8,7,5,2,2,1,0,2,76.50%,28.90%
John Groce,2.1,25,2.4,24,8,4,4,0.5,4,3,1,0,0,0,0,0,4.80%,0.30%
Archie Miller,1.8,27,0.9,47,8,4,4,0.5,4,2,1,1,0,0,0,0,3.40%,0.10%
Bruce Pearl,1.8,27,1.7,32,20,12,8,0.6,8,6,3,2,1,0,0,2,45.50%,8.10%
Dan Hurley,1.8,27,2.9,21,12,8,4,0.667,5,3,1,1,1,1,1,0,39.70%,15.50%
Jeff Capel,1.6,30,1,45,8,5,3,0.625,3,3,1,1,0,0,0,1,17.40%,3.90%
Andy Enfield,1.6,30,2,26,12,6,6,0.5,6,3,2,1,0,0,0,0,16.10%,3.30%
Paul Mills,1.6,30,1.4,35,4,2,2,0.5,2,1,1,0,0,0,0,0,0.30%,0.00%
Juwan Howard,1.5,33,1.1,42,7,5,2,0.714,2,2,2,1,0,0,0,1,29.40%,6.40%
